0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20.352,60.501,68.723,47.722,20.978,38.629,6.973,65.857,96.342,24.076,79.668,17.9,83.583,83.802,21.644,13.338,71.619,37.173,35.229,98.883,80.501,7.684,7.187,61.86,7.548,89.268,45.029,14.226,26.588,78.892,83.787,31.231,28.15,5.759,42.571,75.733,40.934,12.191,49.285,6.279,33.967,98.68,48.945,37.079,97.578,7.228,49.224,16.244,18.663,97.761
55.412,18.836,14.931,71.425,97.353,90.996,14.126,92.172,9.488,62.659,46.329,80.608,72.194,21.762,28.232,45.574,9.743,16.352,1.941,54.414,44.802,23.39,10.008,6.89,27.918,15.881,33.417,62.513,15.148,14.489,52.829,49.478,87.443,23.366,96.273,51.378,72.709,19.89,34.24,32.369,45.939,23.877,60.478,43.031,42.44,1.451,5.784,93.645,44.164,30.93
53.865,90.804,82.778,50.651,40.611,50.282,95.387,10.883,45.329,27.523,14.113,72.766,45.869,73.789,60.055,27.637,12.55,70.653,74.999,8.449,76.945,23.529,44.696,15.853,7.701,68.239,54.642,24.411,42.605,51.224,4.72,39.662,57.964,24.58,1.424,23.736,99.469,51.052,3.86,73.15,41.055,59.993,86.236,93.661,35.019,46.846,48.339,75.894,15.083,24.391
87.161,40.429,30.488,97.516,87.278,80.593,97.724,96.566,42.559,22.99,96.923,29.806,10.458,56.258,75.881,0.896,20.991,59.885,4.88,31.14,10.577,17.206,24.54,97.42,31.912,2.454,65.472,36.034,7.296,30.662,12.648,48.402,8.806,72.126,98.256,18.088,43.415,87.743,65.248,70.871,28.269,14.648,36.22,20.718,99.302,79.844,96.199,16.233,44.608,79.072
9.189,56.621,84.694,88.93,38.367,84.821,69.618,7.483,34.3,77.758,93.668,84.894,76.043,59.586,86.722,85.046,29.959,49.014,37.6,8.3,22.222,2.724,75.652,66.904,8.73,49.44,36.714,29.025,17.347,90.057,92.736,4.288,90.091,85.111,28.02,72.753,68.685,52.338,19.533,47.821,21.373,85.34,68.086,86.404,47.699,8.04,45.887,51.625,61.335,23.52
65.663,5.206,65.206,12.47,70.591,87.995,93.926,32.289,8.356,72.32,33.279,31.122,4.637,48.347,29.381,4.153,1.374,76.494,78.243,40.218,57.691,95.901,20.667,67.669,16.895,2.151,47.223,72.585,73.568,0.14,34.163,85.632,4.948,47.685,89.618,86.098,72.998,17.131,81.397,64.997,56.53,39.478,82.513,59.217,9.325,65.831,17.729,92.861,79.279,8.04
29.412,8.683,8.758,36.98,15.658,25.461,71.601,97.981,30.095,17.269,12.646,2.798,49.632,82.713,82.038,33.621,79.253,9.427,34.557,39.33,36.824,0.027,92.242,40.985,66.668,11.561,90.657,21.216,80.615,0.467,21.542,8.116,57.929,81.157,71.929,33.664,81.564,53.757,59.747,95.062,81.248,49.088,64.228,54.288,14.211,59.776,80.57,83.612,24.692,3.498
89.955,70.243,81.796,44.396,15.071,24.614,69.07,72.0,27.058,18.208,57.588,96.469,58.154,79.589,80.424,92.945,56.455,54.965,30.577,28.599,0.492,69.655,71.21,59.342,62.593,21.99,15.601,28.789,54.794,23.455,52.02,32.488,51.335,24.618,81.921,60.306,58.483,11.596,43.451,53.928,31.489,30.957,75.471,35.489,98.373,36.691,80.758,33.895,55.333,72.29
60.108,74.228,41.783,63.048,85.155,18.195,72.276,94.293,33.278,92.5,55.118,26.991,32.259,1.974,96.129,34.344,30.919,65.346,30.741,85.175,36.903,67.345,16.263,46.386,1.986,44.721,91.562,87.933,75.012,79.035,27.84,0.271,30.869,18.646,9.174,82.985,96.673,14.832,25.735,70.417,51.569,19.282,70.07,91.085,54.203,87.551,75.181,15.763,1.293,60.848
94.592,40.521,18.699,54.158,1.113,85.441,73.619,0.675,13.557,21.269,49.779,43.491,61.737,51.318,9.644,57.962,18.242,3.179,30.006,64.884,30.255,79.968,43.482,16.359,14.282,66.416,25.831,51.489,70.525,68.857,33.622,44.418,96.675,68.663,47.886,38.537,80.752,81.293,88.365,59.15,98.495,19.047,69.504,35.717,48.072,70.613,53.775,12.775,94.335,21.255
