0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20.352,60.501,68.723,47.722,20.978,38.629,6.973,65.857,96.342,24.076,79.668,17.9,83.583,83.802,21.644,13.338,71.619,37.173,35.229,98.883,80.501,7.684,7.187,61.86,7.548,89.268,45.029,14.226,26.588,78.892,83.787,31.231,28.15,5.759,42.571,75.733,40.934,12.191,49.285,6.279,33.967,98.68,48.945,37.079,97.578,7.228,49.224,16.244,18.663,97.761,33.076,70.72,87.56,36.517,94.737,3.407,30.652,74.271,31.069,31.469,83.085,3.1,61.455,54.766,31.145,47.587,3.241,43.373,89.339,4.656,50.411,11.859,25.665,55.639,29.464,41.744,70.081,78.24,70.493,15.65,28.354,50.258,45.77,19.071,40.503,14.086,83.342,61.114,54.605,36.391,80.591,72.197,36.055,91.622,16.911,67.354,66.336,95.644,66.734,2.917
55.412,18.836,14.931,71.425,97.353,90.996,14.126,92.172,9.488,62.659,46.329,80.608,72.194,21.762,28.232,45.574,9.743,16.352,1.941,54.414,44.802,23.39,10.008,6.89,27.918,15.881,33.417,62.513,15.148,14.489,52.829,49.478,87.443,23.366,96.273,51.378,72.709,19.89,34.24,32.369,45.939,23.877,60.478,43.031,42.44,1.451,5.784,93.645,44.164,30.93,16.435,44.712,41.932,3.526,12.842,7.315,42.304,26.509,46.851,45.388,61.084,44.955,94.134,4.848,74.309,84.693,40.368,42.434,37.713,65.138,90.486,85.108,57.142,1.126,56.123,16.994,87.438,44.857,23.05,91.359,82.679,97.122,85.891,45.029,60.095,87.61,38.03,48.14,58.498,6.044,1.474,48.27,64.117,71.162,64.942,40.525,76.536,17.404,81.363,25.432
53.865,90.804,82.778,50.651,40.611,50.282,95.387,10.883,45.329,27.523,14.113,72.766,45.869,73.789,60.055,27.637,12.55,70.653,74.999,8.449,76.945,23.529,44.696,15.853,7.701,68.239,54.642,24.411,42.605,51.224,4.72,39.662,57.964,24.58,1.424,23.736,99.469,51.052,3.86,73.15,41.055,59.993,86.236,93.661,35.019,46.846,48.339,75.894,15.083,24.391,58.049,44.759,7.984,37.859,23.638,74.285,7.63,9.055,60.96,33.97,43.201,53.495,72.654,65.067,10.957,18.685,83.92,69.515,39.615,47.593,32.022,85.373,3.883,26.604,27.255,22.098,10.665,21.198,42.724,83.272,33.918,34.911,52.8,51.061,20.827,58.824,15.342,65.034,59.997,7.549,24.971,70.374,81.605,8.588,17.61,8.03,8.7,49.949,15.63,1.836
87.161,40.429,30.488,97.516,87.278,80.593,97.724,96.566,42.559,22.99,96.923,29.806,10.458,56.258,75.881,0.896,20.991,59.885,4.88,31.14,10.577,17.206,24.54,97.42,31.912,2.454,65.472,36.034,7.296,30.662,12.648,48.402,8.806,72.126,98.256,18.088,43.415,87.743,65.248,70.871,28.269,14.648,36.22,20.718,99.302,79.844,96.199,16.233,44.608,79.072,88.118,68.305,41.129,55.647,97.141,80.092,91.089,76.642,78.08,62.349,4.207,7.797,32.479,97.274,88.168,79.544,93.575,98.808,96.929,3.73,31.723,76.467,13.252,65.004,82.684,70.715,67.214,30.452,82.792,0.193,61.353,99.445,70.74,36.017,76.42,8.963,67.19,15.257,22.851,28.48,93.602,10.502,66.592,7.703,74.376,85.776,78.44,34.199,74.099,52.827
9.189,56.621,84.694,88.93,38.367,84.821,69.618,7.483,34.3,77.758,93.668,84.894,76.043,59.586,86.722,85.046,29.959,49.014,37.6,8.3,22.222,2.724,75.652,66.904,8.73,49.44,36.714,29.025,17.347,90.057,92.736,4.288,90.091,85.111,28.02,72.753,68.685,52.338,19.533,47.821,21.373,85.34,68.086,86.404,47.699,8.04,45.887,51.625,61.335,23.52,68.664,10.838,64.775,95.382,94.258,39.505,49.159,8.115,86.583,98.172,33.795,99.469,80.407,10.822,95.101,14.044,67.473,45.244,23.355,97.935,68.858,56.652,43.842,82.567,18.365,0.223,44.433,64.817,21.434,29.942,85.463,84.483,44.719,44.746,44.433,79.289,47.701,36.66,75.037,8.599,18.685,2.869,48.534,85.072,56.212,49.816,3.931,21.396,73.086,60.243
65.663,5.206,65.206,12.47,70.591,87.995,93.926,32.289,8.356,72.32,33.279,31.122,4.637,48.347,29.381,4.153,1.374,76.494,78.243,40.218,57.691,95.901,20.667,67.669,16.895,2.151,47.223,72.585,73.568,0.14,34.163,85.632,4.948,47.685,89.618,86.098,72.998,17.131,81.397,64.997,56.53,39.478,82.513,59.217,9.325,65.831,17.729,92.861,79.279,8.04,59.081,77.456,39.055,63.417,65.889,60.496,47.655,22.158,86.877,29.316,55.59,99.174,47.344,23.485,72.355,41.903,61.263,54.576,59.188,84.19,64.155,70.656,20.32,52.508,46.544,82.391,93.597,87.653,38.825,83.142,18.389,67.499,97.901,9.162,93.623,89.394,59.487,19.323,20.359,99.696,63.304,39.871,10.997,81.502,41.98,46.379,95.266,88.166,75.282,74.107
29.412,8.683,8.758,36.98,15.658,25.461,71.601,97.981,30.095,17.269,12.646,2.798,49.632,82.713,82.038,33.621,79.253,9.427,34.557,39.33,36.824,0.027,92.242,40.985,66.668,11.561,90.657,21.216,80.615,0.467,21.542,8.116,57.929,81.157,71.929,33.664,81.564,53.757,59.747,95.062,81.248,49.088,64.228,54.288,14.211,59.776,80.57,83.612,24.692,3.498,35.821,34.125,66.755,75.648,7.111,75.53,55.326,22.762,3.534,53.347,11.492,19.643,28.594,89.352,66.603,88.454,94.621,25.19,44.101,46.445,41.834,53.274,38.424,46.248,28.238,94.275,48.37,56.597,73.947,95.267,60.021,93.728,62.1,45.212,41.025,57.268,92.564,2.113,91.211,69.243,49.764,1.126,67.697,21.876,43.936,81.825,94.424,99.85,78.449,88.999
89.955,70.243,81.796,44.396,15.071,24.614,69.07,72.0,27.058,18.208,57.588,96.469,58.154,79.589,80.424,92.945,56.455,54.965,30.577,28.599,0.492,69.655,71.21,59.342,62.593,21.99,15.601,28.789,54.794,23.455,52.02,32.488,51.335,24.618,81.921,60.306,58.483,11.596,43.451,53.928,31.489,30.957,75.471,35.489,98.373,36.691,80.758,33.895,55.333,72.29,40.215,81.615,93.905,98.317,84.242,11.233,13.846,26.88,58.995,72.26,58.627,13.847,31.234,49.679,20.933,92.376,29.22,58.177,46.454,58.318,93.875,65.301,64.814,29.305,23.63,13.385,84.023,81.963,62.217,76.391,39.664,41.155,58.825,16.71,52.52,31.098,65.295,57.688,91.901,16.005,5.931,68.839,26.267,28.418,75.564,93.9,77.492,85.17,64.343,59.041
60.108,74.228,41.783,63.048,85.155,18.195,72.276,94.293,33.278,92.5,55.118,26.991,32.259,1.974,96.129,34.344,30.919,65.346,30.741,85.175,36.903,67.345,16.263,46.386,1.986,44.721,91.562,87.933,75.012,79.035,27.84,0.271,30.869,18.646,9.174,82.985,96.673,14.832,25.735,70.417,51.569,19.282,70.07,91.085,54.203,87.551,75.181,15.763,1.293,60.848,60.095,83.876,42.02,49.444,8.645,86.071,13.171,6.89,54.813,92.781,57.119,96.425,94.617,62.054,79.786,38.765,79.038,74.654,20.943,95.616,66.47,9.106,73.493,86.266,12.008,17.447,31.15,68.673,38.387,57.508,34.698,10.923,28.553,78.3,21.002,39.987,14.794,9.364,50.256,73.212,17.325,37.687,89.873,60.161,28.844,8.015,54.934,7.369,68.317,43.204
94.592,40.521,18.699,54.158,1.113,85.441,73.619,0.675,13.557,21.269,49.779,43.491,61.737,51.318,9.644,57.962,18.242,3.179,30.006,64.884,30.255,79.968,43.482,16.359,14.282,66.416,25.831,51.489,70.525,68.857,33.622,44.418,96.675,68.663,47.886,38.537,80.752,81.293,88.365,59.15,98.495,19.047,69.504,35.717,48.072,70.613,53.775,12.775,94.335,21.255,35.433,94.609,61.283,14.16,9.942,34.688,71.122,93.488,51.682,75.462,7.512,56.42,89.052,1.951,57.446,53.367,95.871,33.979,16.981,92.617,39.028,25.712,4.613,55.714,46.961,25.92,41.778,25.254,30.341,26.944,86.327,15.312,14.405,73.101,87.064,57.459,90.993,14.222,46.32,57.01,16.067,17.582,32.55,23.086,79.316,28.099,34.119,2.819,52.191,53.693
